@relation 100dim

@attribute dim1 numeric
@attribute dim2 numeric
@attribute dim3 numeric
@attribute dim4 numeric
@attribute dim5 numeric
@attribute dim6 numeric
@attribute dim7 numeric
@attribute dim8 numeric
@attribute dim9 numeric
@attribute dim10 numeric
@attribute dim11 numeric
@attribute dim12 numeric
@attribute dim13 numeric
@attribute dim14 numeric
@attribute dim15 numeric
@attribute dim16 numeric
@attribute dim17 numeric
@attribute dim18 numeric
@attribute dim19 numeric
@attribute dim20 numeric
@attribute dim21 numeric
@attribute dim22 numeric
@attribute dim23 numeric
@attribute dim24 numeric
@attribute dim25 numeric
@attribute dim26 numeric
@attribute dim27 numeric
@attribute dim28 numeric
@attribute dim29 numeric
@attribute dim30 numeric
@attribute dim31 numeric
@attribute dim32 numeric
@attribute dim33 numeric
@attribute dim34 numeric
@attribute dim35 numeric
@attribute dim36 numeric
@attribute dim37 numeric
@attribute dim38 numeric
@attribute dim39 numeric
@attribute dim40 numeric
@attribute dim41 numeric
@attribute dim42 numeric
@attribute dim43 numeric
@attribute dim44 numeric
@attribute dim45 numeric
@attribute dim46 numeric
@attribute dim47 numeric
@attribute dim48 numeric
@attribute dim49 numeric
@attribute dim50 numeric
@attribute dim51 numeric
@attribute dim52 numeric
@attribute dim53 numeric
@attribute dim54 numeric
@attribute dim55 numeric
@attribute dim56 numeric
@attribute dim57 numeric
@attribute dim58 numeric
@attribute dim59 numeric
@attribute dim60 numeric
@attribute dim61 numeric
@attribute dim62 numeric
@attribute dim63 numeric
@attribute dim64 numeric
@attribute dim65 numeric
@attribute dim66 numeric
@attribute dim67 numeric
@attribute dim68 numeric
@attribute dim69 numeric
@attribute dim70 numeric
@attribute dim71 numeric
@attribute dim72 numeric
@attribute dim73 numeric
@attribute dim74 numeric
@attribute dim75 numeric
@attribute dim76 numeric
@attribute dim77 numeric
@attribute dim78 numeric
@attribute dim79 numeric
@attribute dim80 numeric
@attribute dim81 numeric
@attribute dim82 numeric
@attribute dim83 numeric
@attribute dim84 numeric
@attribute dim85 numeric
@attribute dim86 numeric
@attribute dim87 numeric
@attribute dim88 numeric
@attribute dim89 numeric
@attribute dim90 numeric
@attribute dim91 numeric
@attribute dim92 numeric
@attribute dim93 numeric
@attribute dim94 numeric
@attribute dim95 numeric
@attribute dim96 numeric
@attribute dim97 numeric
@attribute dim98 numeric
@attribute dim99 numeric
@attribute dim100 numeric
@attribute class1 {1,2}
@attribute class2 {1,2}
@attribute class3 {1,2}
@attribute class4 {1,2}
@attribute class5 {1,2}
@attribute class6 {1,2}
@attribute class7 {1,2}
@attribute class8 {1,2}
@attribute class9 {1,2}
@attribute class10 {1,2}

@data
69.126088,93.25964,110.765275,106.348913,129.507975,116.15677,136.904341,131.599418,131.544909,147.366352,52.886867,62.49471,66.849996,66.373108,68.917975,71.054897,73.918037,74.833861,69.664167,75.853443,31.954795,54.656238,67.574437,75.574863,66.252132,74.143077,74.359452,78.763006,88.241892,88.915174,37.832373,26.680224,48.633661,85.968606,50.002046,40.959402,64.37483,85.431967,78.823763,73.313625,54.434319,56.425975,86.573935,106.509807,111.903025,87.195836,98.134496,120.85558,117.905994,120.219808,51.7129,23.268587,71.343933,31.549968,33.473103,75.312107,44.609612,76.94805,77.902046,85.22914,41.670243,75.564491,53.121641,69.202543,77.419178,88.540176,87.078005,82.457797,86.885819,85.379475,73.521216,79.98251,74.633998,69.012764,108.375935,100.893673,87.29755,103.87312,112.300091,90.322442,62.834656,91.016251,115.116,121.046394,119.9414,112.485154,128.900483,123.856934,120.472891,121.689008,33.383203,68.687925,86.048932,93.546725,78.426344,83.210865,85.285999,87.689726,119.55157,122.940305,1,2,2,1,2,2,2,2,1,2
69.631898,93.632397,111.86492,108.543389,130.078869,117.557864,136.929261,132.939487,132.894078,148.014232,37.670773,50.029827,54.034824,62.30151,67.674528,64.297717,61.596761,73.820656,69.445153,76.059556,32.382355,53.823263,67.331226,75.825332,65.87794,74.282029,73.893203,79.201979,87.973607,88.719162,74.00162,60.072195,80.99873,79.330192,98.817353,86.660996,106.80054,107.518583,123.503899,100.419797,52.451004,54.918027,86.888333,105.866879,110.968505,87.774903,97.559182,120.134482,118.619506,118.955775,50.784861,21.936267,72.104464,31.303156,35.094568,74.724697,45.891697,75.415917,77.175274,85.258881,37.785677,58.959281,77.214312,94.311782,103.503788,91.881299,106.621786,90.089035,90.997495,110.762034,75.670459,78.804498,73.857916,67.185387,108.535641,103.631131,88.870376,104.606858,113.94149,90.03759,63.904189,93.685761,115.828104,121.728584,119.938225,112.165762,128.638072,124.462891,120.068599,122.257084,33.331291,69.094646,85.007444,92.448791,77.685285,81.487139,86.165273,86.373713,118.436845,122.897067,1,1,2,2,2,2,1,2,1,2
68.304555,92.468403,111.387676,108.032955,129.503369,116.753176,136.055093,132.064725,131.88813,147.579415,51.796101,61.520382,65.902361,65.324805,68.020131,70.117072,73.037547,73.951507,68.838719,74.767098,31.498317,54.300671,67.812756,75.811748,65.078049,74.38458,73.819578,78.573152,87.491364,88.68048,74.188653,61.411781,81.892985,81.527208,99.432939,87.416908,106.821578,107.621516,122.391255,100.973834,38.86148,30.227292,61.861854,31.00488,78.662197,65.585139,44.466663,61.013071,93.57489,63.166222,45.916863,81.115659,78.903345,76.112422,104.44309,81.664134,80.318194,84.864061,105.371666,75.898838,42.320837,76.6688,55.20212,69.77283,78.56347,88.616476,85.657539,81.281345,87.52882,83.600444,49.866598,47.487171,68.677192,62.706104,59.144909,98.395958,64.980674,93.564168,117.061578,103.221491,50.236004,63.881248,60.942894,67.606454,64.067563,71.185431,71.942111,75.170283,70.205352,70.796544,34.279375,69.277756,87.669921,94.893859,78.885645,83.486991,86.389849,88.778423,119.166477,123.095551,1,2,2,2,1,1,2,1,2,2
70.917028,94.428221,111.996018,107.974537,129.90778,117.410497,137.469405,132.499883,133.7895,148.857452,38.90768,51.041237,55.421132,62.66618,68.212249,65.797347,61.938362,74.513195,70.230353,77.548395,38.616377,44.626482,71.76174,60.953486,74.647717,72.724707,77.878684,80.167761,85.499514,81.839786,36.305476,26.409967,47.634042,84.251375,49.599187,39.295396,64.49631,84.885019,78.837456,73.50172,39.913076,29.567667,59.813442,29.937679,78.207072,66.787703,42.639915,60.609291,91.123352,65.097289,45.097215,81.995051,78.38271,77.083982,102.474336,83.424048,79.702071,84.440541,103.946311,76.735345,38.215936,57.624844,77.62483,94.169337,101.91601,91.200607,105.840385,89.150833,90.991313,110.148346,50.053236,45.209123,67.684381,61.769162,56.680893,97.105433,63.836553,92.490177,115.873841,100.090483,64.857107,92.986621,116.645,121.973438,120.388605,112.125531,130.556137,123.80711,120.00416,122.680213,33.431691,68.752776,86.169342,92.669338,78.372472,81.396526,85.540905,87.879894,117.626414,123.169384,1,1,1,1,1,1,1,1,1,2
70.513121,95.225138,113.524446,109.225581,130.856614,118.425002,137.563599,133.93362,133.755868,148.516794,38.97137,50.785059,55.760582,62.823573,67.79278,65.55514,62.949483,74.721959,70.224321,76.830835,40.657539,45.447147,72.590996,61.857816,76.222877,72.840922,79.640797,81.596421,87.395297,83.703818,73.059725,60.029818,81.401983,77.815361,97.926232,86.492055,105.189103,108.556408,122.012917,100.036325,37.729062,29.572777,63.455981,31.604048,75.75504,66.768482,43.001719,60.963125,92.343077,64.813273,49.255557,23.049376,73.131212,31.740149,35.018479,76.181372,45.888063,76.749014,77.498292,85.289229,37.592575,58.341874,77.282023,93.747923,101.662951,91.358236,105.920691,88.081567,92.005911,111.422155,74.215522,79.921527,75.072922,68.904106,106.746047,102.104787,87.017363,103.862495,112.732975,89.159792,64.455948,92.03427,116.287525,120.926757,120.781374,110.829773,130.150588,125.244291,120.844119,122.734072,22.213436,45.225396,60.399052,66.604064,77.876686,73.232273,75.050904,71.951242,88.912186,76.218438,1,1,1,2,1,2,1,2,1,1
70.383433,94.08693,111.565226,109.117398,130.74207,118.314878,137.084856,132.619089,133.434024,149.002135,36.762168,49.558187,53.0784,61.66829,66.757807,64.201894,60.540408,73.359333,68.292854,75.711517,30.907749,53.377259,67.088089,74.672642,64.98081,73.40083,73.549679,78.567666,87.799627,88.335272,35.713523,25.273365,48.062831,85.083894,50.88508,40.373491,63.846334,85.93312,79.913822,73.805579,51.741944,55.802155,85.538529,105.009551,111.560892,87.961643,98.719296,120.048792,118.305989,120.75986,50.28484,20.942306,73.24162,31.180776,36.667583,74.28531,46.573378,77.764334,76.924522,84.775557,38.714294,58.984239,77.926438,95.32017,103.258486,91.851151,107.997222,88.966653,91.413405,111.206085,75.955107,79.287776,75.135008,68.447226,109.303819,100.905859,87.717532,103.915417,111.183421,89.462937,48.852964,62.611628,59.788079,66.512827,62.679415,69.95355,70.385681,73.538601,69.020299,69.188225,21.734287,44.539492,60.576071,66.059738,77.883707,73.87446,74.604537,71.706012,89.221827,75.44427,1,1,2,1,2,2,1,2,2,1
69.718687,93.646352,112.023879,107.844975,130.678726,116.798219,136.214742,132.737355,131.950692,147.193406,53.857333,63.575304,68.096765,67.433876,69.698694,72.105909,75.096531,76.194047,70.767839,76.600331,37.824282,43.665324,69.909709,60.780174,72.944504,70.583819,76.18052,78.545666,84.811494,80.841629,35.012059,25.348376,47.642642,85.937508,49.833981,38.573185,64.714556,86.691575,80.17691,71.112213,38.250579,29.999065,60.579994,30.027121,79.623975,66.532867,43.804117,61.637404,91.548862,64.089651,45.057181,82.262223,80.080706,79.632053,102.956393,83.859996,80.584246,86.828954,104.043049,75.876887,38.528621,59.329899,77.989644,95.139784,103.67497,92.436891,107.546037,89.879091,92.719353,111.740151,75.644879,80.429281,76.100902,69.864249,109.6769,101.284316,88.211528,105.997221,111.500003,90.973693,47.853112,61.825407,58.711204,65.371788,61.731869,68.815597,69.479117,72.916269,67.977866,68.385864,33.012554,67.872109,85.3881,93.42834,78.243905,81.960162,84.969917,87.867603,118.742829,122.44093,1,2,1,1,1,1,1,2,2,2
71.213241,94.238792,113.151507,108.358574,129.842255,117.630012,137.640625,133.882465,133.269955,149.28086,37.802493,49.673905,54.210432,61.652213,66.851323,64.919606,61.615038,73.505588,69.053025,76.740051,40.595284,46.761619,72.900198,62.153058,76.627048,73.106461,79.197781,79.807791,87.614215,82.993887,75.222674,57.845137,83.172566,79.733577,98.531553,86.590332,106.837352,108.374277,120.707056,100.40574,52.534904,55.192161,85.062774,106.572323,112.246613,87.446299,98.215809,119.327457,118.062894,119.884403,44.919986,82.613252,78.982238,76.151632,100.819771,82.32429,81.363193,86.180365,103.136512,76.323894,43.25809,75.988759,55.229702,71.140534,79.702021,89.031936,88.085306,82.937811,88.260301,85.799552,50.296721,45.869855,68.132565,60.787489,55.912005,97.249522,62.871311,93.567242,117.069361,101.422294,48.289905,62.055385,59.071515,65.885305,61.988472,69.423408,70.130956,73.180218,68.525858,68.676539,34.30674,68.805497,87.713586,94.2455,80.29083,82.315795,86.605903,89.573978,118.790536,123.040176,1,1,1,2,2,1,2,1,2,2
70.529881,95.271286,112.905766,109.226877,130.661275,118.638679,137.126875,133.110609,133.210703,148.306796,52.122258,61.847571,66.096243,65.664827,68.116145,70.327732,72.985369,74.244029,68.874783,74.98451,37.160622,44.028241,70.461536,58.595715,73.784847,70.269428,76.254918,78.601961,84.755186,80.417864,73.890671,62.983478,81.287567,80.490659,99.151926,86.382429,107.303817,109.424449,124.097423,100.384299,53.775558,55.822705,86.892012,106.248406,110.863821,88.965401,98.471679,120.54649,119.142536,120.52872,51.326686,22.1534,69.930718,29.422303,33.680639,74.87349,45.862622,78.172246,78.406604,85.378816,39.557028,60.097467,77.398605,95.57952,104.840117,93.200442,107.028886,90.62591,92.530173,112.640849,75.302788,78.060522,78.017596,68.134863,108.649821,102.409525,86.891428,105.014072,113.631879,89.603656,49.336285,63.182108,60.006913,66.619381,62.959219,70.288132,71.078612,74.390599,69.29908,69.84943,30.141819,66.426151,84.442009,92.259953,77.782136,81.83057,84.236121,86.034152,118.057301,120.550159,1,2,1,2,2,2,1,2,2,2
69.617787,93.059054,111.065928,107.723562,129.672635,115.467285,135.701425,131.258404,131.474251,147.135378,51.377417,60.667699,65.346327,64.963193,67.421077,69.544744,72.24651,73.631592,68.488551,74.451518,32.519982,54.094516,68.023113,74.840647,65.746223,74.51142,73.969449,79.236318,89.045924,89.395653,34.792679,24.387549,48.551797,85.856209,51.259763,39.155744,63.943454,86.027764,80.717224,74.07703,38.478955,30.051027,60.134926,30.837172,76.481825,65.719444,44.697542,60.251629,92.517009,63.352669,49.706503,22.480019,69.121891,30.872279,34.281357,76.19662,44.8496,76.807971,77.950756,85.93117,39.026044,59.430312,78.077796,95.453447,104.304561,94.005993,108.203488,90.10992,93.865265,111.707334,52.072066,46.710561,69.244917,61.485037,56.47629,99.263875,64.700835,94.75947,116.619673,101.640239,64.449108,90.231805,114.002759,119.973507,118.829461,110.690725,128.400662,122.833129,120.483641,121.755144,33.154812,68.030986,85.708639,93.327746,78.46676,82.677628,85.270707,88.052429,118.640057,121.110077,1,2,2,1,1,2,1,1,1,2
