@relation 20dim

@attribute dim1 numeric
@attribute dim2 numeric
@attribute dim3 numeric
@attribute dim4 numeric
@attribute dim5 numeric
@attribute dim6 numeric
@attribute dim7 numeric
@attribute dim8 numeric
@attribute dim9 numeric
@attribute dim10 numeric
@attribute dim11 numeric
@attribute dim12 numeric
@attribute dim13 numeric
@attribute dim14 numeric
@attribute dim15 numeric
@attribute dim16 numeric
@attribute dim17 numeric
@attribute dim18 numeric
@attribute dim19 numeric
@attribute dim20 numeric
@attribute class1 {1,2}
@attribute class2 {1,2}

@data
75.379929,80.572361,91.361884,120.583246,106.856662,99.007634,115.243248,142.178693,128.72536,152.189346,53.559001,74.568725,68.43768,88.552006,95.258818,113.439212,119.989166,120.379087,121.594424,109.482962,1,2
74.280739,80.574154,91.37025,121.468364,107.107361,97.29036,116.105001,141.005328,128.321469,151.159311,53.382809,73.559773,68.11415,88.180934,95.398394,112.558531,120.097431,119.761452,121.876387,109.293775,1,2
74.274322,79.797992,90.673459,120.669503,106.515999,98.701414,115.181336,141.239967,128.489754,150.09189,79.08624,103.868099,93.085873,104.813786,101.089292,129.252794,133.363681,123.465595,117.56701,128.09362,1,1
74.282523,80.898328,92.517068,123.225977,108.049675,99.410068,117.241128,143.359055,129.169762,151.806554,53.788848,74.081449,67.403739,88.540207,95.094985,112.841264,120.372727,121.182985,120.589999,110.567537,1,2
74.323758,80.541762,91.440742,119.392136,105.808922,100.389446,115.501048,141.189918,127.128216,150.970079,54.405441,73.328413,68.024419,87.426457,95.999542,113.203809,120.382872,120.88346,120.340727,109.587726,1,2
73.006184,77.879417,90.174646,119.87336,105.586773,99.648826,112.953248,140.074424,125.851036,149.215677,77.979856,102.372031,92.1559,103.079278,100.812416,128.483161,132.000532,122.490403,116.280723,126.527181,1,1
73.265178,79.087088,90.644457,119.203427,105.282524,97.916408,114.951521,141.015252,127.208873,150.440074,79.303731,103.416874,93.741156,104.993443,101.652841,129.119104,133.265708,123.184288,117.922488,127.953867,1,1
73.454173,79.298748,91.206392,120.959032,106.31818,99.834269,114.814694,141.844368,127.941823,150.847036,53.331841,74.518804,67.482292,88.008316,95.33281,112.719217,120.638713,119.813227,121.705943,110.034684,1,2
73.725703,79.792515,90.975619,121.169907,107.358222,100.404925,114.667281,141.95119,128.39981,150.697968,54.021397,74.930255,67.512347,87.611596,95.611238,111.913238,120.492797,121.040524,121.060054,110.267213,1,2
73.658725,79.153576,90.663111,120.330151,107.063448,98.57842,116.091619,141.711105,128.329093,151.351033,78.780698,102.107531,92.105966,103.072553,102.112143,128.193251,132.339209,122.078893,116.711463,126.562696,1,1
73.46003,79.033213,90.330442,120.96862,107.243712,98.514035,115.980779,142.536934,127.970636,152.277735,55.053836,75.83998,69.008838,89.634027,97.758316,114.159894,121.288438,122.423097,123.244741,111.667079,1,2
75.278696,79.12309,91.64829,121.958873,105.514845,99.211988,116.850046,142.439938,127.50566,151.112755,55.002576,74.171883,67.338571,87.26252,96.378628,112.461441,120.998003,121.695422,121.092007,110.79884,1,2
75.583859,79.66138,91.096843,119.824316,106.124564,99.981429,115.71227,141.254457,127.89318,152.152246,55.720131,74.813975,69.102011,88.906247,97.469543,113.903159,122.41643,120.498815,122.741506,112.064505,1,2
74.230496,78.377265,88.384454,120.809977,107.999408,98.996517,114.307683,140.879744,127.084132,151.32563,79.599144,103.734382,94.078146,104.841933,102.545924,130.233405,134.010491,123.19235,117.353016,128.447163,1,1
73.90282,78.048991,90.234512,121.110014,106.554693,99.119459,115.808584,140.931358,128.476635,149.545494,77.967259,102.065658,93.189696,104.283533,101.292074,128.83067,133.157362,122.191323,116.098976,126.533339,1,1
72.113484,77.814879,89.631426,119.124263,104.267068,97.178623,114.694534,139.682443,126.542365,150.586387,55.018307,75.130642,69.05506,89.650463,96.763833,114.596698,121.530939,121.689158,123.254963,110.379085,1,2
74.988696,80.243696,91.94715,120.955775,107.838392,100.813227,116.289304,142.13077,128.542988,152.508537,79.918075,104.229386,94.618323,105.782465,101.293679,130.319584,133.741519,123.321983,118.00748,128.055849,1,1
75.631889,80.137783,91.895311,120.81251,107.873484,99.427959,116.416238,142.081101,127.942527,150.248601,53.576843,74.19605,67.012649,87.492229,95.224053,111.139316,120.60204,120.257188,120.536314,109.143001,1,2
74.369441,77.681394,90.179943,121.076424,106.119289,100.058625,114.600707,141.73977,129.473382,151.088334,79.305847,104.069571,93.937292,104.931729,101.388008,129.284617,132.701531,123.460186,118.196932,127.884196,1,1
73.827407,78.609803,91.402787,119.430271,105.941507,99.500121,114.751174,141.070394,126.637544,152.284127,54.044439,75.178931,67.5942,88.229312,95.828847,112.155265,121.179292,120.020233,120.749104,110.001783,1,2
74.021498,79.912387,90.785824,119.338447,105.486027,98.18945,114.433777,142.284379,128.289025,151.759976,79.285113,104.839492,94.172658,106.351282,101.768494,130.101639,133.644493,124.080003,118.854982,128.398819,1,1
73.052068,78.605174,90.781236,119.664176,104.843449,97.254291,113.14599,141.18714,126.836445,149.791119,54.732933,75.001688,67.689165,88.801561,96.397062,113.134729,120.8335,120.984373,122.958182,110.044331,1,2
74.087293,78.205249,91.438326,120.470015,107.224327,99.736058,115.065923,141.669406,128.018876,150.80324,79.644871,104.377228,94.006414,104.183427,101.56713,129.064319,132.980603,122.99415,117.528222,127.939159,1,1
73.738615,79.300413,90.400093,121.932655,106.431504,98.856637,116.636666,141.02261,126.847669,149.998304,53.058627,74.953754,68.089262,88.290253,94.989059,112.748929,119.645452,119.775081,120.031795,110.255683,1,2
74.732351,80.051896,91.164258,121.808179,106.426342,98.306679,114.863344,140.251696,128.274719,150.893313,77.944012,103.018066,93.107913,103.864387,101.682371,128.941118,133.303733,122.394095,117.271758,127.613502,1,1
73.166704,77.998464,88.536799,120.639359,105.143474,98.860302,114.858732,142.380617,127.918627,150.243623,78.196955,103.226228,92.495527,104.196734,100.486958,128.210477,132.740409,122.298772,117.030514,127.809471,1,1
74.021905,79.711309,90.572525,120.500305,106.855592,99.701584,115.690775,142.730597,128.040212,151.086464,80.023973,103.261152,93.770878,105.238777,102.683668,129.299153,134.572274,123.363203,117.020373,128.76688,1,1
72.492117,79.073075,91.526368,120.796436,105.910374,98.07163,116.388441,141.288311,126.846066,149.913463,53.145787,72.43372,67.502011,87.04192,94.864219,111.198518,119.720789,119.404938,120.36347,109.902272,1,2
75.201131,79.360768,91.198847,120.21784,105.7799,99.026053,116.229279,142.55124,128.922948,149.566742,53.171404,75.126372,67.983127,88.689659,95.789907,113.55483,120.552325,120.903269,122.303829,111.215673,1,2
74.462512,78.506163,90.768044,120.461093,108.185948,98.852587,117.005429,143.042692,128.661239,152.294147,78.434178,103.580381,93.836709,104.908524,100.805995,129.378617,134.019966,122.231776,117.103414,127.673085,1,1
74.159979,79.392148,90.540463,120.101945,105.743243,99.189138,116.384365,141.121973,129.488568,151.194827,79.212513,104.087939,93.520665,104.491068,100.936253,129.129373,133.469976,124.057921,116.514265,127.682889,1,1
73.785526,79.274017,90.164389,120.498263,105.175403,99.285968,115.500222,141.402562,129.533557,152.246198,52.612494,73.41984,67.874752,87.256081,95.277853,111.820663,120.139766,119.964452,121.08265,109.147188,1,2
72.614861,77.165366,90.757478,118.971555,106.561087,99.43359,114.923563,140.337174,127.902671,150.422793,53.992159,73.072227,66.810486,88.09548,95.080634,112.505422,120.311365,119.916857,120.525486,109.29295,1,2
75.138019,79.852372,91.669477,121.426545,108.806667,100.196367,116.638186,143.377595,129.128334,152.793891,55.718145,74.961835,69.951043,89.524826,96.846897,113.773683,121.810873,121.26309,122.879496,111.946826,1,2
74.132806,78.625523,91.061654,120.990199,104.06323,98.945432,114.342127,140.394553,126.806404,150.602697,78.609355,103.853893,93.600476,105.099331,101.749439,129.215089,133.403863,123.278748,117.615564,128.028053,1,1
75.310975,80.023572,90.27606,122.054832,106.538926,98.331669,114.753044,139.751254,128.685818,152.062837,53.457485,73.982888,67.708672,88.846164,96.079558,111.766116,120.880071,120.124032,121.135401,110.049663,1,2
73.633096,79.169036,91.92869,119.247218,106.153064,98.769593,115.870383,140.877243,128.038182,150.15788,79.691954,104.428223,93.699744,104.799101,101.454159,129.097538,132.553027,122.976333,116.783004,128.324177,1,1
74.217419,79.626865,91.674813,122.146608,106.786928,98.706021,114.859362,140.602355,128.569961,151.632184,54.325947,74.882004,69.322365,89.335222,96.390861,114.458531,121.266222,123.240836,122.869432,112.055406,1,2
75.864183,78.612677,90.499194,121.047268,106.588499,100.488358,114.863862,142.855133,127.150455,151.746319,54.213741,74.791522,68.389183,87.84972,95.930158,114.261986,120.815173,120.705037,121.604539,110.516205,1,2
75.726625,79.931286,92.947595,120.164035,108.216632,99.779635,115.013204,142.433833,128.771034,152.891583,79.002622,104.104056,94.226233,105.319805,101.430431,130.204307,134.202084,123.043803,117.857053,128.353901,1,1
75.430718,78.826792,91.599271,121.187813,107.336461,98.054345,114.148931,143.100886,128.314229,150.715557,77.204698,103.385798,93.053569,102.521116,100.587174,128.547811,132.30064,122.391379,117.162109,126.971253,1,1
73.306674,79.020291,89.797923,120.735035,104.829483,96.721018,114.077655,141.29249,127.288725,150.432627,54.310503,73.545295,68.530892,88.351038,96.181247,113.794853,121.254042,121.055846,121.95523,110.664478,1,2
74.455605,79.019984,89.433091,120.300406,103.765717,97.918707,115.440028,141.26879,127.156608,151.175191,76.760003,102.013338,91.886091,102.154072,100.308028,127.886788,131.259484,120.503379,115.721481,126.191187,1,1
75.766764,78.976293,90.753817,122.064878,108.349205,99.817541,116.021618,141.978253,129.34304,151.509726,53.996164,74.275564,68.525561,87.790398,95.695451,113.304301,119.73147,121.288371,121.038155,109.923342,1,2
74.918231,78.055501,90.901953,121.767188,106.905242,98.656206,115.176758,140.668191,128.229502,151.634933,55.525674,76.047599,69.412471,88.923073,98.067211,114.269388,121.609312,121.822439,123.822031,112.425413,1,2
74.306964,78.575953,91.386594,120.674335,106.748628,97.548932,114.934785,140.995729,127.158347,151.47324,76.800507,101.14488,91.610151,101.39694,99.741146,126.643567,131.400012,119.956711,114.149846,125.184792,1,1
71.318772,77.867337,89.106961,118.877477,105.206465,97.708195,112.881878,139.02269,126.835042,149.720654,77.262028,101.393478,91.307275,102.705484,99.534037,126.852068,131.67723,121.095132,114.625357,125.277323,1,1
74.225383,78.524502,91.810367,121.351041,107.663073,97.889664,115.688105,141.926488,126.595842,151.35346,78.902874,102.988666,92.508285,104.979994,101.0998,128.679468,132.425983,121.155179,116.615681,128.104005,1,1
76.29818,82.715367,91.634168,121.206278,107.709538,100.505279,117.059233,141.772422,129.292896,152.493878,78.448042,104.736782,94.439149,104.712252,101.347088,130.314785,132.962006,123.754151,118.521081,127.965706,1,1
