@relation 40dim

@attribute dim1 numeric
@attribute dim2 numeric
@attribute dim3 numeric
@attribute dim4 numeric
@attribute dim5 numeric
@attribute dim6 numeric
@attribute dim7 numeric
@attribute dim8 numeric
@attribute dim9 numeric
@attribute dim10 numeric
@attribute dim11 numeric
@attribute dim12 numeric
@attribute dim13 numeric
@attribute dim14 numeric
@attribute dim15 numeric
@attribute dim16 numeric
@attribute dim17 numeric
@attribute dim18 numeric
@attribute dim19 numeric
@attribute dim20 numeric
@attribute dim21 numeric
@attribute dim22 numeric
@attribute dim23 numeric
@attribute dim24 numeric
@attribute dim25 numeric
@attribute dim26 numeric
@attribute dim27 numeric
@attribute dim28 numeric
@attribute dim29 numeric
@attribute dim30 numeric
@attribute dim31 numeric
@attribute dim32 numeric
@attribute dim33 numeric
@attribute dim34 numeric
@attribute dim35 numeric
@attribute dim36 numeric
@attribute dim37 numeric
@attribute dim38 numeric
@attribute dim39 numeric
@attribute dim40 numeric
@attribute class1 {1,2}
@attribute class2 {1,2}
@attribute class3 {1,2}
@attribute class4 {1,2}

@data
61.540582,71.713792,74.938274,84.740533,88.188396,81.412744,92.053043,93.352822,95.526829,100.275304,76.404151,72.000646,72.044695,66.06702,100.316903,98.097792,111.31236,126.168502,117.110398,113.783506,36.30104,48.032279,55.942274,51.91837,53.635086,61.853297,64.786811,65.488122,66.022623,63.83223,52.836218,59.57982,83.514157,97.882888,114.182567,116.880056,113.418455,98.472732,104.974475,127.706533,1,1,1,1
57.893152,67.814553,71.666094,81.738774,84.768351,78.126439,88.591672,89.746738,92.20935,96.311782,75.584909,72.892827,72.097261,67.617225,101.599717,98.407196,110.854934,126.893954,116.671469,115.245298,35.628833,47.099639,55.371974,50.964374,53.016496,61.051046,64.188596,64.83764,65.315679,63.306481,53.73535,60.656888,86.236321,100.350512,116.178537,119.160551,115.183289,97.283918,106.786935,130.023149,1,1,1,1
58.893063,68.862873,72.425854,82.515363,85.371773,78.57334,89.419066,90.9504,93.197347,97.533431,76.765863,71.425603,72.090553,66.103652,100.148042,98.237099,111.233023,123.925996,116.794359,115.653498,44.92088,39.562519,71.760597,65.048244,89.594189,88.822823,90.199284,118.075552,109.008571,89.103016,55.506322,60.869382,86.628572,100.401897,115.388525,119.512815,115.475911,99.505733,106.379787,130.243513,1,1,2,1
61.457039,71.941815,74.607063,84.799345,87.761622,81.06376,92.095095,93.20656,94.986226,99.441154,76.455719,69.458412,69.405382,65.729827,98.231778,98.337082,110.030676,125.36195,115.70963,114.670976,45.803146,39.691053,72.15264,62.878687,89.458439,89.24552,91.307684,118.140501,106.94783,90.391313,56.195067,61.342427,87.13044,101.022214,114.610936,119.831103,114.280172,98.964469,106.79134,131.454361,1,1,2,1
58.575163,68.562778,72.298313,82.312024,85.189639,79.239845,88.940715,90.625485,92.745302,96.849589,34.635915,46.429128,78.990327,75.178084,79.462651,110.771634,91.904548,81.395049,119.555926,107.241966,36.231275,48.061185,55.902732,51.76018,53.827933,62.02267,64.999238,65.196114,66.152641,64.087668,27.33242,38.871579,57.008362,65.57512,61.181441,69.916906,74.234422,86.452527,72.366568,87.854464,1,2,1,2
59.006962,69.239113,72.638894,82.751372,85.815106,79.356801,89.763207,91.262224,92.882728,97.642995,74.253489,70.19267,70.998837,66.733489,98.561353,99.648262,110.233757,125.261135,117.845862,115.821451,44.38943,38.221232,71.485585,62.470772,87.742387,87.787464,90.626239,116.473012,107.668301,89.922096,53.03685,59.922853,84.52823,98.492396,113.154454,116.883981,112.866542,95.926183,106.372467,128.039926,1,1,2,1
58.438595,68.322772,71.909429,82.234862,85.100075,78.573804,89.233881,90.673807,92.589623,96.93582,35.374356,45.512351,78.625745,75.980616,78.627081,111.005383,91.653741,80.754027,119.160612,108.337456,47.095985,41.21121,73.724698,64.725913,89.748085,90.955886,93.542874,119.735969,108.117206,90.365284,27.971312,38.183503,56.880482,66.032797,62.21473,70.46235,75.468033,87.367854,74.422887,88.862273,1,2,2,2
59.713045,69.831522,73.597822,83.420928,86.490047,80.095385,90.394803,92.065513,93.855791,98.496352,77.120793,71.236017,70.607649,66.484792,101.084472,99.517839,110.583468,126.489737,116.696052,115.734891,44.822427,39.177335,70.195002,63.282171,87.153706,88.114033,91.499162,117.074087,108.842647,88.812129,54.622177,60.580101,85.064723,100.274835,114.677491,118.291795,115.357657,97.828923,106.542359,130.840984,1,1,2,1
57.403667,67.547375,70.845048,81.194794,84.124356,77.826818,87.895625,89.655273,91.609978,96.302762,76.29669,72.387535,74.103567,67.832542,102.227879,97.569789,111.403102,124.473752,118.560943,116.03982,37.918953,50.221771,58.42002,54.005261,55.931926,63.77613,67.069127,67.661447,68.255605,66.126477,26.098108,36.715696,55.446998,65.272004,60.219348,68.554487,73.104692,84.652543,72.268838,86.817076,1,1,1,2
57.348769,66.857666,70.598759,80.860619,83.861994,77.524557,88.03881,89.168343,91.3105,96.020788,35.842527,46.134514,79.034806,73.613718,77.750818,109.458892,91.524434,80.100079,120.21726,106.61847,44.469917,39.320806,71.759885,64.987436,88.100675,87.660835,89.326839,115.881643,108.085102,89.304403,29.580559,38.692442,58.16179,67.387865,62.839356,72.296254,75.809934,87.360347,75.440806,90.102374,1,2,2,2
59.72653,70.374825,73.400804,83.633251,86.933116,79.714228,90.355651,92.249912,94.400946,98.705937,75.394163,69.616133,72.737677,66.083653,99.317436,99.555242,110.845643,127.658343,115.892143,115.202703,37.24188,48.660816,56.729345,52.955007,54.452609,62.939789,65.691672,66.214734,66.810238,64.966775,53.872288,61.051577,86.025981,100.073326,114.61004,117.58444,114.072978,98.592522,105.376537,130.166223,1,1,1,1
59.790393,70.059391,73.47332,83.500422,86.494138,79.797355,90.364669,91.511879,93.961038,98.004637,77.024503,70.413454,70.438172,66.916528,100.446038,99.647497,110.281928,124.955819,116.200958,115.635103,46.123126,39.121332,72.136014,64.670708,88.53842,88.958691,90.407023,116.058566,109.349039,88.144557,27.085616,37.994917,56.176425,65.734628,61.159383,71.162998,74.59416,86.238122,73.08371,87.601096,1,1,2,2
