@relation 60dim

@attribute dim1 numeric
@attribute dim2 numeric
@attribute dim3 numeric
@attribute dim4 numeric
@attribute dim5 numeric
@attribute dim6 numeric
@attribute dim7 numeric
@attribute dim8 numeric
@attribute dim9 numeric
@attribute dim10 numeric
@attribute dim11 numeric
@attribute dim12 numeric
@attribute dim13 numeric
@attribute dim14 numeric
@attribute dim15 numeric
@attribute dim16 numeric
@attribute dim17 numeric
@attribute dim18 numeric
@attribute dim19 numeric
@attribute dim20 numeric
@attribute dim21 numeric
@attribute dim22 numeric
@attribute dim23 numeric
@attribute dim24 numeric
@attribute dim25 numeric
@attribute dim26 numeric
@attribute dim27 numeric
@attribute dim28 numeric
@attribute dim29 numeric
@attribute dim30 numeric
@attribute dim31 numeric
@attribute dim32 numeric
@attribute dim33 numeric
@attribute dim34 numeric
@attribute dim35 numeric
@attribute dim36 numeric
@attribute dim37 numeric
@attribute dim38 numeric
@attribute dim39 numeric
@attribute dim40 numeric
@attribute dim41 numeric
@attribute dim42 numeric
@attribute dim43 numeric
@attribute dim44 numeric
@attribute dim45 numeric
@attribute dim46 numeric
@attribute dim47 numeric
@attribute dim48 numeric
@attribute dim49 numeric
@attribute dim50 numeric
@attribute dim51 numeric
@attribute dim52 numeric
@attribute dim53 numeric
@attribute dim54 numeric
@attribute dim55 numeric
@attribute dim56 numeric
@attribute dim57 numeric
@attribute dim58 numeric
@attribute dim59 numeric
@attribute dim60 numeric
@attribute class1 {1,2}
@attribute class2 {1,2}
@attribute class3 {1,2}
@attribute class4 {1,2}
@attribute class5 {1,2}
@attribute class6 {1,2}

@data
69.266257,41.708927,73.131875,75.240895,88.548563,53.928627,66.364617,59.000244,91.355943,76.441214,37.247718,58.530113,39.864144,51.65496,57.94296,72.908094,99.033464,107.138135,103.590774,119.274588,23.838843,60.311198,73.132852,69.133776,105.008318,106.027314,101.462086,87.725327,101.559738,123.506235,66.004832,54.32963,77.765249,71.352044,62.55645,107.694345,73.146144,88.807216,106.13379,112.134197,69.538794,87.759813,105.713191,123.344665,98.715956,123.456081,104.997988,123.280195,109.502471,145.910563,38.956918,64.37298,53.298201,80.358523,36.544349,48.476108,56.465257,74.341087,63.899563,89.607607,1,2,1,1,2,1
70.579538,41.367684,74.291304,74.767804,88.563073,54.229062,64.52741,60.28954,92.363278,77.680731,18.122326,36.251896,59.246925,62.092103,58.570465,69.087164,62.670661,62.136843,64.582396,79.377143,71.237222,84.233356,104.58268,119.536008,117.63719,127.053983,135.884537,132.038372,118.175987,128.829547,40.852694,25.37088,71.299529,64.20253,44.537717,64.957499,65.855523,106.795544,93.676943,114.754335,68.49163,86.402914,104.922803,123.266591,99.281759,122.665836,105.211423,122.268341,108.627686,145.122114,27.955775,31.917722,34.873743,64.029313,81.697341,90.218148,92.355136,109.431505,102.213267,109.141772,1,1,2,2,2,2
68.992888,42.361067,72.642604,76.173818,86.837262,53.243749,65.91598,58.403694,91.035168,74.298838,38.285324,58.804998,41.013049,51.981427,59.449704,72.471443,97.825126,107.257933,105.736228,119.781621,23.990329,60.260682,72.459741,68.054917,106.575422,104.187873,100.767565,86.973844,102.002504,123.451102,40.217567,26.61343,71.279841,65.166644,46.033453,64.749239,68.5234,107.274857,92.642247,115.014181,70.19151,88.224564,105.648453,124.495022,100.004382,121.924493,105.995075,124.273236,109.957286,145.729442,27.47252,33.72629,33.541913,64.937273,83.468428,91.472532,88.585041,110.246748,101.962418,106.788182,1,2,1,2,2,2
69.710521,41.199246,73.878597,76.033154,89.485511,53.316075,64.470131,58.000742,92.272115,77.584115,36.876482,59.635763,38.982959,52.01004,58.643362,74.175767,98.467237,107.693612,105.594817,120.027236,72.328992,85.663647,106.304062,120.453712,119.46527,128.576598,137.942848,133.051251,118.173668,128.260304,64.036492,52.521399,76.785085,70.257132,63.622751,106.36135,73.46796,87.790786,106.433114,110.587565,69.286752,86.119143,104.917004,123.310553,100.738406,124.06829,106.097603,124.116308,109.717588,145.696168,39.34192,65.572122,53.955363,82.441051,36.486394,47.207272,58.798225,76.319651,64.636566,89.934655,1,2,2,1,2,1
68.857937,43.189181,74.106042,74.699636,86.935062,56.657921,66.854768,59.472135,94.418005,76.651023,38.55426,60.487906,41.681968,54.491474,58.648638,74.012528,100.329686,109.461152,107.279895,119.928042,26.090763,62.015889,73.436307,69.981022,107.600205,106.300949,101.77522,90.074324,103.163795,125.626581,40.924762,28.640037,72.675264,65.927728,45.532113,65.22128,67.825551,106.153739,92.263542,112.739107,76.579269,78.347414,75.737458,45.778247,93.129373,53.362446,101.108527,72.521087,98.510956,82.300886,28.315233,32.200626,33.668361,63.325795,82.341559,91.832932,91.012673,110.12042,102.480356,108.019787,1,2,1,2,1,2
69.744003,41.983297,74.215297,75.751791,87.961916,54.154488,66.218018,58.427281,92.310955,75.889183,21.48092,39.265248,61.500347,64.447704,60.423126,71.974545,65.022623,64.679661,66.670369,81.974007,23.160668,60.514556,74.079598,70.028155,105.903553,105.992377,101.916486,89.034775,102.571249,123.986865,66.599761,53.410197,77.726264,71.684184,63.569208,107.30412,74.77016,88.919349,103.647525,112.428555,74.975818,78.349701,72.613099,42.754577,91.411731,51.785182,99.593536,70.721484,96.236706,80.997253,28.766534,31.156,33.798428,64.267259,83.048807,92.592,91.704888,111.276976,102.892824,106.45132,1,1,1,1,1,2
70.709758,45.487591,72.711376,75.620756,87.772872,54.579227,65.985973,59.993615,91.726502,77.169538,19.270685,37.183699,59.974137,63.137003,59.123059,70.214214,63.507892,63.30215,65.2605,81.206975,70.001482,83.577906,103.258444,118.837978,118.010089,126.19725,135.812812,131.430266,116.522626,126.149648,65.845059,54.939957,75.916434,71.180289,62.280868,106.436672,74.041665,89.966963,104.52896,111.947188,66.971738,87.107278,103.813661,122.357264,98.713769,122.84617,103.651112,121.696769,107.955575,144.400062,38.854405,66.603547,52.837319,81.225192,36.943092,47.570729,58.079549,75.148517,64.566715,89.636589,1,1,2,1,2,1
71.200684,43.171077,73.37336,75.4174,85.90942,53.115165,65.375834,58.66309,93.628135,76.682711,37.298461,59.187179,40.661811,52.80061,59.507812,73.607424,97.560442,109.850741,104.853879,119.610396,23.436718,59.095888,72.348701,68.418541,105.104372,104.860854,101.501505,87.129782,102.320523,124.38504,63.873455,52.260755,76.614785,69.582896,61.449097,106.468882,73.247755,87.326465,104.17553,111.262051,75.113553,79.127544,74.383903,42.776998,92.92251,51.485068,99.7058,71.144046,95.838775,81.104482,38.026515,66.917891,54.561508,81.666057,37.097222,49.955861,59.01128,75.462826,64.848166,89.892485,1,2,1,1,1,1
70.716213,41.748967,72.873218,76.224701,88.899893,53.270246,66.031166,59.350655,93.016906,76.656314,19.776041,38.944125,60.755249,63.545588,60.063923,70.728751,64.37164,63.042342,65.869807,80.72618,24.241151,59.77085,70.811649,66.476281,104.107958,103.300108,101.458481,86.93735,101.561457,123.344745,39.794995,28.089319,72.405728,64.674928,46.661825,65.282085,67.454656,104.942607,92.387349,114.82156,69.223529,87.888097,104.115464,123.268068,98.139923,122.864229,107.163557,122.14587,109.679765,144.761815,25.999801,31.153579,34.907472,63.591409,82.685097,92.630378,90.26023,108.617047,102.051154,106.59931,1,1,1,2,2,2
68.982952,41.597484,72.949717,75.2422,86.688586,52.22486,65.596449,56.448937,92.632306,74.207683,38.151096,59.852615,40.460767,53.286342,57.896691,75.241925,98.688207,108.513724,105.120612,120.286762,23.412797,58.844373,70.919008,67.223432,105.698017,103.64655,101.128339,86.999439,102.089947,122.754989,39.415479,29.028475,70.535723,63.926244,44.130699,64.998497,69.391459,106.90613,91.873161,115.214736,75.794454,79.160547,75.57183,42.528792,91.125956,52.42088,99.309812,70.388151,96.501182,80.765033,27.509251,30.72113,33.139178,64.879328,83.343043,91.411451,90.012267,109.965362,101.697001,106.279741,1,2,1,2,1,2
