@relation 80dim

@attribute dim1 numeric
@attribute dim2 numeric
@attribute dim3 numeric
@attribute dim4 numeric
@attribute dim5 numeric
@attribute dim6 numeric
@attribute dim7 numeric
@attribute dim8 numeric
@attribute dim9 numeric
@attribute dim10 numeric
@attribute dim11 numeric
@attribute dim12 numeric
@attribute dim13 numeric
@attribute dim14 numeric
@attribute dim15 numeric
@attribute dim16 numeric
@attribute dim17 numeric
@attribute dim18 numeric
@attribute dim19 numeric
@attribute dim20 numeric
@attribute dim21 numeric
@attribute dim22 numeric
@attribute dim23 numeric
@attribute dim24 numeric
@attribute dim25 numeric
@attribute dim26 numeric
@attribute dim27 numeric
@attribute dim28 numeric
@attribute dim29 numeric
@attribute dim30 numeric
@attribute dim31 numeric
@attribute dim32 numeric
@attribute dim33 numeric
@attribute dim34 numeric
@attribute dim35 numeric
@attribute dim36 numeric
@attribute dim37 numeric
@attribute dim38 numeric
@attribute dim39 numeric
@attribute dim40 numeric
@attribute dim41 numeric
@attribute dim42 numeric
@attribute dim43 numeric
@attribute dim44 numeric
@attribute dim45 numeric
@attribute dim46 numeric
@attribute dim47 numeric
@attribute dim48 numeric
@attribute dim49 numeric
@attribute dim50 numeric
@attribute dim51 numeric
@attribute dim52 numeric
@attribute dim53 numeric
@attribute dim54 numeric
@attribute dim55 numeric
@attribute dim56 numeric
@attribute dim57 numeric
@attribute dim58 numeric
@attribute dim59 numeric
@attribute dim60 numeric
@attribute dim61 numeric
@attribute dim62 numeric
@attribute dim63 numeric
@attribute dim64 numeric
@attribute dim65 numeric
@attribute dim66 numeric
@attribute dim67 numeric
@attribute dim68 numeric
@attribute dim69 numeric
@attribute dim70 numeric
@attribute dim71 numeric
@attribute dim72 numeric
@attribute dim73 numeric
@attribute dim74 numeric
@attribute dim75 numeric
@attribute dim76 numeric
@attribute dim77 numeric
@attribute dim78 numeric
@attribute dim79 numeric
@attribute dim80 numeric
@attribute class1 {1,2}
@attribute class2 {1,2}
@attribute class3 {1,2}
@attribute class4 {1,2}
@attribute class5 {1,2}
@attribute class6 {1,2}
@attribute class7 {1,2}
@attribute class8 {1,2}

@data
53.165717,37.619795,78.059924,41.434362,73.321533,63.813508,82.117646,49.967869,86.734828,78.661033,76.002676,56.90447,83.333278,85.051316,91.659539,71.777158,107.076886,117.669212,120.201349,135.087383,57.853731,54.019406,85.549964,72.522316,109.698014,89.197121,119.237111,104.32345,111.018037,127.130996,35.182857,72.713856,57.789502,100.996403,86.209165,89.826567,83.571955,87.981478,123.532362,93.475713,58.378704,76.445646,59.393388,61.022532,100.273146,91.770754,116.259874,89.705112,110.857756,133.991847,44.964851,58.178572,60.532758,67.410036,78.804333,76.311643,78.364251,92.933429,96.370044,83.128864,75.599825,29.165729,61.97359,50.17264,55.739786,87.011443,64.285144,90.799254,51.13632,94.58305,31.231194,72.810946,89.828223,78.899754,92.34864,95.523135,84.300264,124.843316,130.702966,103.648937,1,2,1,1,1,1,1,1
53.269454,38.241677,77.994522,40.889883,73.850385,64.278478,82.946189,48.700249,84.765907,77.300467,53.030115,43.860953,76.356987,54.89366,85.86838,91.543237,55.94924,55.978863,69.356901,105.026465,32.879195,69.496817,66.788,63.821149,77.26276,88.589324,90.470305,110.395732,111.141463,116.254833,33.952833,73.935164,59.161604,100.805604,86.491567,89.126995,82.845123,86.816658,121.451182,92.772294,56.567878,73.211039,57.465838,60.187548,98.04009,87.178292,116.169654,87.61254,108.995188,133.437506,45.529982,58.518406,60.582296,67.436653,79.779647,76.208185,79.018386,93.460769,96.657029,83.060795,76.844217,28.965387,61.949035,52.583609,58.040358,88.321184,65.952621,91.308336,51.055447,97.42918,47.558841,50.649585,75.587429,53.230132,89.622598,80.20331,105.098364,118.911635,126.274604,126.550686,1,1,2,1,1,1,1,2
53.980196,36.709453,77.596484,42.377192,71.734838,62.550153,81.153606,49.787019,86.126558,77.088625,76.452047,58.774207,85.71754,83.121269,93.058301,74.76407,108.45329,118.468822,121.489389,136.540857,59.939515,56.229131,86.612597,71.757418,110.583843,90.699027,119.189354,105.213729,111.511161,126.803022,37.461444,42.548324,80.275121,95.438264,77.279907,76.042307,80.62537,89.691888,97.983788,92.541288,57.787474,73.240541,59.934452,60.781485,101.11831,89.855653,117.16683,89.060288,110.113781,134.504174,44.643896,57.310919,59.925943,66.890719,79.389535,75.333583,78.551168,92.84761,96.590343,82.431698,76.511191,31.157975,63.077156,54.034495,56.891173,85.959788,65.05214,91.468229,50.464825,95.611671,47.719401,51.104071,74.88483,52.443726,90.1151,79.177697,105.940369,119.133931,127.212518,126.812213,1,2,1,2,1,1,1,2
53.467202,37.74071,78.772794,39.081073,73.868051,62.335702,84.263221,49.989223,84.875843,77.55476,75.96442,57.287665,84.941941,82.745022,92.729343,74.726899,107.926341,116.868664,119.777377,133.730111,34.391149,70.933596,67.529116,64.096711,77.349831,89.352476,91.179485,111.484816,111.605131,116.637991,35.947864,74.582718,58.168483,100.896406,87.514816,90.443196,84.827149,86.712243,124.15364,93.287747,55.394908,66.159118,91.242727,83.990242,104.029266,111.278072,94.213254,97.239523,99.362923,101.861777,43.667688,56.905404,58.678891,66.329505,77.919587,74.959925,77.586505,91.994539,94.971968,81.490367,75.298297,27.668544,62.620821,52.778467,60.226475,88.962224,65.770415,92.235498,50.882591,97.034695,30.563198,74.212133,90.614237,79.57776,94.431656,96.987617,84.781528,126.534412,131.078218,105.241403,1,2,2,1,2,1,1,1
53.764037,37.030152,78.766939,41.199328,71.938421,63.696804,83.698491,51.122297,87.180428,78.914932,76.011038,56.596915,84.018467,83.477817,91.388961,75.562518,107.914658,117.980507,120.63777,133.378418,56.067394,52.213987,83.697686,68.686427,108.809381,87.184543,116.192092,101.456562,109.086569,123.934137,35.667067,74.857925,59.423939,101.432268,86.667333,90.846609,85.180758,88.025942,124.580928,94.295386,57.57732,74.180084,60.464556,60.39438,101.434366,91.081713,117.061797,87.541619,112.953317,134.003061,34.011272,62.293669,55.672775,75.725961,63.991018,66.088334,85.436532,70.257638,87.429495,74.004075,75.856214,31.090227,63.342359,51.594661,59.174262,87.362142,64.221767,91.363222,50.749619,96.807825,46.835305,49.955642,72.892691,49.61885,88.231385,78.859329,104.304224,116.332299,125.028461,127.863281,1,2,1,1,1,2,1,2
51.720894,35.385883,78.271407,40.61923,73.225453,62.480612,79.607698,49.850955,84.023963,75.439189,52.80399,45.415691,77.042889,55.892385,84.823933,89.907146,55.428653,56.698905,70.254081,106.522628,33.000388,70.523209,66.678912,64.677095,76.798997,87.836277,90.026793,110.292038,111.100766,115.873973,35.117014,73.201758,58.798093,101.647306,85.316603,88.511224,85.118692,86.405054,121.670612,93.321879,56.536046,68.998322,94.030106,86.761813,106.048981,114.138376,95.732656,98.369886,101.347406,102.598358,43.164482,56.14259,57.933112,65.483435,76.818351,74.094427,77.338666,91.293455,94.484145,80.793584,76.074161,28.984067,62.089278,52.917904,58.235403,87.310014,63.488376,91.22265,48.698338,95.669149,28.613437,72.661525,88.907756,78.697255,91.682128,96.093547,84.365496,125.306534,129.477766,102.853427,1,1,2,1,2,1,1,1
52.360525,36.095849,76.948494,41.308564,73.479758,62.481219,82.276807,48.897292,85.57497,77.535125,78.51124,58.200896,85.077553,83.566805,92.028751,74.438427,107.089994,118.468958,121.213026,136.093614,32.836931,68.813625,65.429823,63.190445,76.426456,87.914213,88.306186,109.14857,109.429976,115.438108,36.160095,45.453955,82.467142,97.044772,77.228309,78.30698,83.290984,89.145903,99.00045,95.111883,55.991144,65.866087,92.154261,84.955225,105.16726,112.893847,95.671666,97.045875,100.129349,101.420858,44.092612,55.918132,59.859294,66.381916,78.029944,74.983173,77.324936,92.370881,95.315259,81.66573,77.263773,85.693704,100.809426,104.654919,122.870222,105.931242,109.117623,134.875312,136.841358,117.081834,30.028159,72.844353,89.25196,78.442601,92.582726,94.37128,84.587387,124.433993,130.912777,104.362884,1,2,2,2,2,1,2,1
53.03342,36.691783,78.212301,42.109393,72.772916,64.586533,82.112511,50.675232,84.517858,77.580331,74.577277,56.188694,82.672317,83.753056,90.762945,73.429887,104.789018,114.769948,117.882272,133.169185,58.80513,54.30253,86.837394,72.55553,109.702781,91.306554,118.791941,104.276244,111.852355,125.976941,35.285767,42.675288,80.999477,95.561843,75.861787,75.774699,80.352866,89.226761,96.752572,93.693099,54.4489,67.323498,91.390106,83.955706,104.296439,110.92973,94.068286,97.096264,98.788168,100.490971,45.338252,57.856346,59.886623,67.135941,79.75271,76.089102,78.879749,93.020124,95.915458,82.691443,79.125856,86.806674,101.840812,104.754577,122.939171,105.619024,110.555502,135.87785,137.913345,118.346321,47.865171,50.454133,76.108304,52.53108,90.352844,80.09627,106.153825,117.509411,127.39534,127.74121,1,2,1,2,2,1,2,2
52.849445,35.942925,77.792893,40.389404,72.084846,62.689862,82.329842,50.765051,85.96587,77.43241,52.275428,44.006494,76.452532,54.535786,86.541384,91.107128,57.111265,55.659072,68.357968,105.108318,33.464135,70.606344,66.866162,64.9661,76.496903,89.471263,90.457408,109.99491,110.286973,115.614916,33.645568,71.864632,56.862944,99.732026,86.24349,89.194131,84.183165,85.5985,122.942321,91.303859,54.49281,65.151532,91.504058,84.139752,104.860711,111.135472,93.249217,96.291321,100.286902,99.609222,32.531695,60.84086,54.908285,74.720148,63.267074,65.012019,85.020341,69.847291,86.911625,73.623545,76.308045,30.626708,63.733899,52.249274,56.176244,87.385332,63.070743,91.760579,50.374048,96.542124,47.014858,50.736433,74.364323,53.165465,90.750847,80.879517,108.175333,118.656723,126.315047,126.52673,1,1,2,1,2,2,1,2
53.585958,35.898558,77.263608,38.406356,72.831114,63.633357,81.920907,50.269075,84.804593,79.296747,77.835297,59.886959,85.221581,82.60728,93.808039,74.533511,106.94103,116.057359,120.976416,134.526159,32.298067,67.182559,64.769091,61.853817,75.048409,86.97828,89.787879,108.169496,108.874848,114.578984,36.550118,44.037908,81.673056,95.530643,77.285869,77.27877,80.998374,89.118255,98.875026,94.637042,56.868213,66.880228,91.283891,86.059695,105.968265,112.438502,93.937095,97.502622,101.413537,101.409645,32.195078,61.304163,54.926622,74.681574,62.053128,65.391437,85.12265,69.083825,85.806353,71.464774,77.690566,85.737119,100.508719,104.961954,122.70249,105.127048,110.173757,134.911852,137.290248,116.684632,31.220413,74.676849,90.750776,79.598572,92.017615,96.568419,85.323436,125.515289,130.864822,104.518245,1,2,2,2,2,2,2,1
